sample_hash,correct_category
799ca0bb00509aa5,instruction_override
c9c92e5981fd7f65,information_extraction
b8af4286a8c15681,obfuscation_encoding
f18a0a6ad0065450,other
5de1b43613c4c8c4,other
4be85de842f24d4b,other
0731421f2f137b53,other
b430f0b2776489df,other
556eb4a964918929,information_extraction
6a2084f844b6f051,other
25dd996b41acc17b,other
07c53c6085e40fa9,other
90aa355ded83e934,other
d98b397e69a17b40,other
69b328b69a652e8b,other
8d98bd516c81b6cd,other
feb360c5ab2923c6,information_extraction
2c2f0208cfb47939,other
8d993500b1c9578c,other
8920b0cd2066c148,other
b4672657931ee1f3,other
2af104a1c07d68d7,other
d7496d9bad028c20,other
05f22941f2d30b27,other
173c9bc28fedc8a9,other
2d66ca2878606fb4,other
162b5f338c29ab31,other
7336876a418c1e4d,other
3edc6388518fe7f3,other
55a631d5f100a421,information_extraction
fb9154f413aa8d45,other
b68dc69dc11fcb47,other
c09eaedcacac1c2c,other
e66129d51224078d,information_extraction
2dc7e4d19fe6943b,other
fe1e38a48058d7e3,other
856e3189dd58e078,other
2379aaa8640818b7,other
2e35f199210517c1,other
f2fbc1c23d4903a1,other
d838a1554643ace5,other
90cf295da3de98cf,other
3f865724990634f7,other
a50ea5692dfa2ae5,other
0389aa280df5071b,other
27b2bc80549d8a06,other
aaa9ac71be6aa44f,other
6e568b3535b85694,other
98356b0527fb4330,other
9985dfc77fdcb072,other
6f34f90d76b8533b,other
7d5c9a4dfee0987c,other
d0eae0b578dd0f3b,other
98ec5bcb592b42c9,other
040e0930f6d24721,other
e07955b4f2c0b403,other
372beb3e80882194,other
7144757f7a3735b5,other
61574ee39889cb82,other
df700ebc1cfed035,other
d8230a5eaf90759e,other
823debdb6cccb573,information_extraction
de92ab6d6a5115ff,other
38f17b809c89bcb9,other
39b2d538ccb12aed,other
bad8b52637f90136,other
d22c5d3043f53ae3,other
fbc1ecf259a45cac,other
a7834d9018d6c8f1,other
3c9ffcb21314fe97,other
7a2203123db1f21e,other
cfc606a74607e858,information_extraction
fa25c94b63c1450a,other
eb19c2e95f18c4bd,information_extraction
04f54b8422e7d783,other
4d33c967a94058de,other
302cae63e8f6d771,other
63568d2c97c287f4,other
f2df57656c5af0cd,information_extraction
cc74a2259334d5b2,other
fc6e7b559433253d,other
91107b4fa8d11dbe,other
aa361adb98283963,information_extraction
e2daa1697b7d9460,other
5a6ee0f57ca20fbf,other
e720a7a1b12023b9,other
13151296b4ee583e,other
a28f213af275414c,other
69643b18e3e2f09c,other
c189accd55fdac28,other
5aa6ad4a735688d2,other
e20840f5ba748bd1,other
d2ccb8823fcc8571,other
f310e3e0317fcf82,other
0d63c6a6ad89806f,other
6a1b7eb41457bd34,other
103c8bd1c381bdf3,other
e946431ce39e39af,information_extraction
2e535d61ba9a397d,other
606cf1072be72083,other
632949d6fc76c729,other
727b55607c591ffc,other
b546402c01971148,other
4a2b0c44cb6ed1de,other
fa446aa25641d626,other
ae2301f1442c5918,other
d58f19f176b85b39,other
a3b31e2307064fb3,instruction_override
4bd68964dbe6bfdc,other
123e755494f209c5,other
155ea8ac5b2a0e89,other
e28ffca1764aec73,other
bdb5f26ddce71be5,other
de6589d2ab827e8c,other
f7e9ab86f73cab87,other
31854b7d97e3a497,other
4d7a5541a19d1d80,other
4bfd13879f1a0f1f,other
dc043a9a310d06ea,other
dc040b987195f924,other
6e5a19621c4d9190,other
df225a100933f1e9,other
ea1bbd25b0d21b88,other
2f1a29348e7da9cb,other
4943b7cc2625784b,other
df7b39527759101c,other
c5560c9e8e6f22cf,other
37c23346a658e349,instruction_override
952c5ce5aafe9f6d,other
d60a906abae5a45f,other
763b082bf39c8b78,other
3a8ec793b930865a,other
e5ce5235f3203023,instruction_override
91044d2bc1a9deac,other
f10455383e5daea9,other
2be22ef4a6441e0a,other
080a33955f23985e,other
935e4cc30b3c6dd5,other
fdfa24a6e2f550de,other
7e33d4ab53c4b795,other
4db1b735788c2df6,other
1aa0356006f3515d,other
0f6c55e549661d34,other
a2addff5f0386f7d,other
0a29511b022aff2b,other
9e7008e90557dbea,other
b5787b9cb88e3c5f,other
5e7ab292dd528c3e,other
79fa80a95db5e9bd,other
e6d89c73081b509c,other
1f8346da448f7117,information_extraction
448be13e5690aa7d,other
fd9c2564f1e4f630,other
4b3390d3da3a9c00,other
e01b378b2f911018,other
6957e41165dfba7a,other
ba451853dae1026a,other
09d11f3f2288bae5,other
830817df462a6e34,other
bef41539781f313b,other
69b8c0a3e75fb33b,other
898ce79a0464db1f,other
b43f565eebad7fae,other
c64ed1a8a0368d62,other
d60d754ba865f15d,other
8205d12338b2afd0,other
0c33e664f9a68c46,information_extraction
461e95379de94e74,other
1a568ba4b59f2fdf,other
8b7fecdb95bffe30,other
328005c3cdd04f9b,other
1045a5965dbe3ed9,other
73b7c351f25587b9,other
88925ec41119cca4,other
7ed121d516f4bbfe,other
d113eb5c5f811beb,other
0053bc3538168e93,other
009873deb5c8ea22,other
8c219a5f5e841443,other
681c14d0a75bc6bb,other
fd97aaaeb4ecec77,other
bc4a21ebe13c6a26,other
4aef88acef0a2478,other
e823d6fcff7b7501,other
85cf6574fd279f59,other
62c4a142d4e2f85b,other
99e8765229fdda50,other
352d1f4a1bae824e,other
ed1b189303d973e3,other
0d1acdb435f9ba5b,other
ad1c217a1beaf275,other
eab2e2420f16496b,other
80786c202f7f19bd,other
eba74c200d4940bc,other
9848fc815266f27f,other
062255f4eb825a0f,other
eb0e5eead5ba1542,other
581abfd97b532a0c,other
1ed7a10ac65b3834,other
c8a19d244ea4f11a,other
3d22a9367a5248e7,other
90ac4187d9f98c13,other
17e61259b5bbf0d4,other
d8c3ea8752764f03,other
80f84581a4f25e04,other
29065329bdc9b6bb,other
1d0eb618015fd673,other
6d606739f5a38eb3,other
d65045d4fe83c291,other
8b80dc21aba77a78,other
ed303f61cc9500b0,other
a9cc3d307c9337be,information_extraction
b245c36fd00d940c,other
e3d2d80ff7c045b7,other
fad26233c42429a2,other
2381b6112a7ccb87,other
e4119e9f5692e37f,other
77788848c17c5714,other
20f8a3d540c8594e,other
db3a4fefd2ba6a17,other
b61b21f6aae7aa40,instruction_override
165ac72e647da94c,information_extraction
113a094b5865fbf8,other
5f32e83f9bfa575e,other
9bd17868eb482f23,other
1c212e794c3fccd8,other
8450d7e2e53e3098,other
b17952e0b5fc50fb,other
f6011bec404ed7c7,other
36f1f26e1d2ca6b6,other
368399a93756ded7,other
5cf56a2be95d6f58,other
92cefc7cc46891b7,other
2ea64c5fbd98880d,other
64429b6641d40c87,other
1ab1c810aa878597,other
e43bcca4eb64e281,other
d18df69f98f9b012,other
9a1e6dac4eb7f994,other
96c13a9de4d65d32,other
f6e6ad5e2dbc4539,other
8053ce11154cc06b,other
13ee560a032df059,other
0f948c79228ae89b,information_extraction
bc9505f346398d28,other
aecdf4a4ae250a3b,other
6cb629e0b1d50c7c,other
f48c695a3005cc68,other
2b966ba5ba0a5604,other
ab2a99c7f55c040b,information_extraction
649ee962b38ce574,other
46547d4c17886fb3,information_extraction
9a1187fe4fe9d2af,information_extraction
6bb2dee3b8f76277,other
4bd8926fbfff4459,information_extraction
780b0e6f481d8c02,other
ef4acf39839e5d49,other
eb3122b35922f07b,other
95c91cb5d73f6258,other
faff7b0b30bcb4b1,other
13875fa917253dd0,other
111f1575a6502029,other
04124d80abed8f25,other
bc484f7cc34b65a1,other
cad38e8f93504aa1,other
1f7cf44c3896a870,other
a35d9404f2962d36,other
c2deeeae17847532,social_engineering
ac2b0888f4654deb,other
707cbf2a42829cc9,other
3253ee398f7ea7e4,other
1c62f15c2916c76b,other
cf476aaf0f3b8779,other
26107934e130b3ab,other
3f21b7893391130c,other
2d151469c0ebb65f,other
34c449b703aa8055,other
4379cfcc46fa5ce8,other
1774a5a01b6b841e,other
c86abe9226cca3be,social_engineering
ec6fd6d4699a3983,other
3c6f9b9dd39b31ff,other
41924ab803dd1a8d,other
c1ace00d124ec283,other
fe714e26d4e3f394,other
a7921fe1e1672a76,information_extraction
b2ad2ecebeadd9dc,other
f76a6d151b7ca31b,other
153ca7a5f06a21ee,other
5d5070f66bb93c29,other
9e244ecc590a229c,other
b962fcf4689686db,other
09edfa5c80dfa0ef,social_engineering
a4e5e3373a710094,other
c5514c27c3b55394,other
2d673c54e12d300e,other
7e921118bebacc55,other
f40f8ebd6e53fa7d,other
11984a7cef9ef367,other
f2d70c87f47d3bf6,other
210fe205c30a3295,information_extraction
2cf40516a02c6046,other
9358924a7bf8de8a,other
9dc152d1a01a21b3,other
5c85c3e5711de6f5,social_engineering
ca2f09582b2c473d,jailbreak_roleplay
1f6604acc15b5321,other
7eca0e22b3a1c601,other
5b7cfa7fb5c32dd5,other
63128b3573887191,other
6e033f0229f86d63,other
ab4e730997954e62,other
be5896617680976d,other
0c7b2129bd6827f7,information_extraction
419e0af2dd181fc2,other
cbc5cbecb01e2775,other
c66f84a8953ef924,other
5af3a52878d75988,other
3d6cd130869b782d,other
2a7cc885ac60aa97,other
1da26cd7095f4da7,other
1e4815dc2e271b93,other
742278c85a0385ab,other
75da98352bbde3f3,other
142f5cc9d9072194,other
7816d186e75a9bf1,other
7ba9fc3d9e305dc7,other
3a1eb5f9869f925d,other
58e4049e70f41e13,other
ab738b4b77a61efb,other
f5198a6def831261,other
94dba88f26ba3ed2,other
2294c361f30004c8,other
bd9d84b02683001d,other
304bc43fd265fda0,information_extraction
fdc48fc7668b02d9,other
a59dd3228aaa8e30,information_extraction
82684ce4bfc6b944,other
986d1e45183ee66e,other
4b9867626a268c76,other
f708e57f415ce7f5,other
f6935f3f7067a015,other
eed231fb3742246f,other
cfc267ddf5b412b8,other
ab63b80eea8d0dd1,social_engineering
8bc101c3b667b983,other
a04781f2b5a08dc8,other
6cc0f1bb5521c2dd,other
0d16d1b46edc98c1,other
963c495d8008635b,other
5cd7d2748d3d379f,other
38e0a270fb4e736b,other
9b9424c622027d86,other
9109b53295e3ad4e,other
2b8cb3e2d0df4b6c,other
8ef1c32ded82ad74,other
0c1b2ceb6863386f,other
624bf50b9710f075,other
cd28f8ca46e620ee,other
91f9c336e0f3ba97,other
60f17da180bbfd85,other
d96cd9e46898c85b,other
e439c6f432c8066d,other
16dae5c2d2becbef,other
37c584a3a6d0d6b3,information_extraction
94a99c954d97a07b,other
ecc20856ea5ccf4a,other
98b64e33b095eab6,other
e475c71261616cf1,other
e516bc96064914b7,other
eaea20a8a32d9a99,other
9de8671d9bf97289,other
624855f1575f0aac,other
415eccab2c96130e,other
5d8aabf7d8ba0069,information_extraction
fb1e870f2dff0e66,other
ed5ef451f3c5b914,other
474d4f36c3f5ae60,other
5df7ab5be9271189,other
7176a8592ff2459d,other
9e0062dacf7e3c84,other
adb84ea9a8f32a0d,other
b9bb4598cc5c69ae,other
3888c35f1806a499,other
cf7c1cc970257173,other
6d5a5cee1fdbed75,other
dd4d8a5157cab4f4,other
77a6faf8306b1f04,other
55b73d681ccea453,other
d50e41baa89efb32,other
c7ab506874057dc4,other
d5544d9996227039,other
0797d68340be7561,other
5a8fa3992f087e1e,other
d3f83335631df241,other
7a1bbb53d0cf0282,other
9228680bd23de41f,other
a252d20a8603948e,other
796c61f98e43899e,other
937194f6c341eba3,other
a2ac0bd8e2ad54b7,other
4bd0a489062dc436,other
f96ad4b188d087b8,other
3169897a3de871b2,other
3e946538363ff315,other
79f1d351b8e510f5,other
e603585e2585f344,other
026892c1b88533bd,other
5df6ebf073993a5b,other
e5037504a1488e96,other
58548a557f48dfa8,other
c5f0c2c4642b307d,other
718e75b2a8b19916,other
3e6652978750372e,other
be77898eae34a2f8,other
9596b53687ef8c9e,other
e8d990b298bc6b70,other
d0b6fe2c9a95ca7a,other
a88f8d00ed8d7303,other
1ff5b5b2801eb29d,other
e79b448dce79757e,other
4280e19d5bd1eaae,other
f25aa8eb439aed2d,other
97d3ee09ffef36c9,other
98066b19bb58ee3d,other
6384f503a90839f8,other
9514456734101c2a,other
7d626706df15361c,other
c51a160139cc09b4,other
44e85e72485753f7,other
58e297acb42f9200,other
593b22231c599395,other
d99b215af63dcaaa,other
6f6ddba025c405ca,other
039f39ef5f46fffc,other
5b7750451fdf59fd,other
e22eea4d8723b056,other
896bbfb9fa755288,other
afa396bd6b89f2e4,other
40d2db1aef8b61f9,other
089fb6cb1e13bbf8,other
8fbf3cf9a75f1854,other
50788b4872f7292d,other
9c252ac40a1c1a77,other
e37146079aefcb5f,other
4b36b1187e89c730,other
1521c44d9e35066c,other
8b16549e793592f7,other
4542157ffed722b3,other
02f3297e8be74948,other
f82f5c44ca874d2f,other
b43b02219ec37357,other
fd626e1c9164afb4,information_extraction
57044e0d442c28a0,other
68bea207f6890c0e,other
f04e960a9c28d8a5,other
43943ac758b43c33,other
1bdbc3edb5591842,other
a80a66d9a7305af4,other
af81896c4b640f6a,other
8fb149315fc93996,information_extraction
1a9800d13a978b6a,other
4228510025e045c2,other
ce513b9c35730bbc,other
941a2898e5b01485,other
78ce906949b47f35,other
086c72f1cbd48888,information_extraction
7ee9117aad65895d,other
5e0ad32660a63f1d,other
1920d9e367794af4,other
c90c02718d9867a6,other
ee58ce8f32e46297,other
ea84099f2bafe0a7,other
e5a880691bb491d6,other
42c2ae23a70ca608,other
b6910d0375678dc3,other
958bba8400da236a,information_extraction
8fa30ed9b3343fe1,other
288b9c7a6e86a5cc,other
124876ea023659b4,social_engineering
b8de220e74512d83,other
a9042c7b008189a0,other
5c519cc0159b0b5f,other
d5d9f6bd31288cfb,information_extraction
091050ad341ab1ab,information_extraction
9b4d8b9a7618f40d,other
5e0713cebca03b57,other
c9af1965e35cf332,other
82ec3ddcad7db42f,other
035c6c96c434e4b4,other
86dc72a88bc36718,other
829a71ce14d8e5c9,information_extraction
97c119965a425bf8,other
30259de06f5f409b,other
32416b574c7aede2,information_extraction
4cdd34dfa80351c4,other
d9b5fc18c3b9d8c2,other
c21e7049919813aa,information_extraction
4e484eeec5e2f0cf,other
dfd1479b9313bd64,other
8e9df3062da28248,other
1059e2196cf3066c,other
dd648d4f82aafab6,other
5fc017bc01c3bd9a,other
95c1da49ffe7f703,other
cdd9ae842ee26848,other
b0c258f5217dcd93,information_extraction
2493263dcfc63bc7,other
dde7424387a77505,information_extraction
4ae531f1be08f49c,other
11127c93728c6113,other
8799f4ca5e988053,other
7495cb3c95a12b3d,other
8ee3ae5c395d231b,other
c43ac8b55ce61bea,other
b6028bf2d083b074,social_engineering
d7d75123aa1b46a4,other
2c85f732a9570581,other
3d443a278f5edd75,other
e9ac44dcc13dff16,other
3ad5dc4e1cc2a48c,other
7adc506634c52608,other
fc1cd30cd10be6fc,other
00acf74323915c61,other
0c130ff677913313,other
d75653b5fc469426,other
0ff1dd2ad423a077,other
3266715f8deb4442,information_extraction
ce67647f549f7997,other
0bfdd7279feb918f,other
25d603675ebc6b56,other
84fabd686e09c6ae,information_extraction
c3cfc75019ac7bfd,information_extraction
d24012cf6af69e5e,other
352761ced3302ac8,other
b9565dfb0c2184a8,other
cbf2a17e8b2c750a,other
186155c51b359c77,other
83d170bd72df9bfa,other
600121f1283653bb,other
4253d52e7da739fb,other
08757a7cc60aafc3,other
dfe8942d0f186a40,other
73d619255dd4a8bc,other
6ce21a38fcadcfc7,other
3b6189dce7233388,other
1212a2c53ddcdb0b,information_extraction
91989be9a54bfbac,other
72dd38f6b8eff0c7,other
2862e82e81755a5d,other
1984fec76c70701d,other
eb6e3b4079e6411b,other
8756277b1b752e0a,other
160aad79e2f5ccfb,other
cd8cbaf26a6a7561,information_extraction
ef85e5c368ed7fe0,other
5d91a168aaee7b15,other
14935e345be874b6,information_extraction
babfe8419db55329,other
2134b52730175403,other
b446241eeeca8944,other
cd26e3aad43ec54a,other
beba09500475f763,other
0e51f37769fe2d45,other
46f4b2ddccd270ac,other
6169a704f321dbe8,other
28161ec92dd59d39,other
85a6848875477eed,other
b36e1f7cda3554b1,other
ac3f7f26c04d3a2c,other
0fcb3b99b25d3d4b,other
fc14ec5d87709e96,other
72ed8cebd4661b52,other
c3da1be28d7043fc,other
60f99ff6bd9b39c8,other
c65bed4c16c1e598,other
0dce467ef5561944,other
fa38aa2c5a24e626,other
d7bb624bd0604007,other
46d7b8ab1a5e7b81,other
2b48d09a79bd5ef3,other
5c63ec1543639bf2,other
63a97e61348165fd,other
3542bdab7c329bb6,other
fd279bd9bf4f1069,other
c44d7daac711f6b6,other
